TRANSACTION_ID/SOL/BONKEY,TRANSACTION_TIME0RPA_ETS2,SALESORG0SALESORG,TRANSACTION_DATE0CALDAY,DISTR_CHAN0DISTR_CHAN,ARTICLE_ID0MATERIAL,LOCATION_ID0PLANT,TRANSACTION_TYPE0RPA_TTC,ARTICLE_COUNT0RPA_RLQ,SALES_PRICE_AT_CASH_DESK0RPA_SAT,SALES_PRICE_PLANNED/SOL/LOC0086C,VAT0RPA_TAM
0002021040620550000000025,122102,1099,20210406,13,000000002063182030,2055,1005,1.000 ,22.49 ,29.99 ,0.00 
0002021040620550000000032,122150,1099,20210406,13,000000002057202003,2055,1005,1.000 ,62.62 ,86.99 ,0.00 
0002021040620910000000077,120153,1099,20210406,13,000000002064123004,2091,1001,1.000 ,20.79 ,25.99 ,3.32 
0002021040620910000000119,130617,1099,20210406,13,000000002060728019,2091,1001,1.000 ,71.99 ,89.99 ,11.49 
0002021040620910000000173,143856,1099,20210406,13,000000002059323005,2091,1005,1.000 ,29.99 ,39.99 ,0.00 
0002021040620970000000001,105708,1099,20210406,13,000000002041359022,2097,1005,1.000 ,14.86 ,19.99 ,0.00 
0002021040620970000000029,123405,1099,20210406,13,000000002063182031,2097,1005,1.000 ,22.49 ,29.99 ,0.00 
0002021040620970000000032,124120,1099,20210406,13,000000002064699016,2097,1005,1.000 ,55.99 ,69.99 ,0.00 
0002021040621520000000017,125202,2010,20210406,13,000000002102321001,2152,1001,1.000 ,28.79 ,35.99 ,4.80 
0002021040622000000000030,105147,2010,20210406,13,000000000000050090,2200,1001,1.000 ,2.99 ,2.99 ,0.50 
0002021040641280000000013,094355,1099,20210406,13,000000002064401008,4128,1005,1.000 ,48.71 ,48.99 ,0.00 
0002021040641570000000024,121329,2010,20210406,13,000000002064333014,4157,1001,1.000 ,28.79 ,35.99 ,4.80 
0002021040642130000000037,093058,1099,20210406,13,000000002063182016,4213,1005,1.000 ,29.99 ,29.99 ,0.00 
0002021040672730000000026,124937,1099,20210406,13,000000002059019022,7273,1001,1.000 ,11.28 ,14.99 ,1.80 
0002021040673370000000019,093249,1099,20210406,13,000000002064936012,7337,1005,1.000 ,44.99 ,59.99 ,0.00 
0002021040678030000000006,115403,1120,20210406,13,000000002064948031,7803,1001,1.000 ,39.50 ,49.99 ,6.31 
0002021040678200000000036,130352,1120,20210406,13,000000002060915006,7820,1001,1.000 ,22.49 ,29.99 ,3.59 
0002021040720350000000008,121955,1099,20210407,13,000000002024804024,2035,1005,1.000 ,52.49 ,69.99 ,0.00 
0002021040720390000000022,110631,1099,20210407,13,000000002063466028,2039,1001,1.000 ,39.99 ,39.99 ,6.38 
0002021040720390000000048,115348,1099,20210407,13,000000002063368102,2039,1001,1.000 ,16.00 ,19.99 ,3.19 
0002021040720400000000030,091925,1099,20210407,13,000000002062991008,2040,1005,1.000 ,19.99 ,19.99 ,0.00 
0002021040720400000000047,111132,1099,20210407,13,000000002062991008,2040,1005,1.000 ,14.99 ,19.99 ,0.00 
0002021040720400000000113,173256,1099,20210407,13,000000002061409015,2040,1001,1.000 ,19.49 ,25.99 ,3.11 
0002021040720480000000002,095031,1099,20210407,13,000000002064365003,2048,1005,1.000 ,37.49 ,49.99 ,0.00 
0002021040720480000000059,171941,1099,20210407,13,000000002060478005,2048,1001,1.000 ,17.09 ,29.99 ,2.73 
0002021040720550000000007,105214,1099,20210407,13,000000002064307019,2055,1005,1.000 ,22.92 ,30.99 ,0.00 
0002021040720620000000054,154436,1099,20210407,13,000000002062917031,2062,1001,1.000 ,47.99 ,59.99 ,7.66 
0002021040720620000000055,154731,1099,20210407,13,000000002058639006,2062,1001,1.000 ,39.99 ,49.99 ,6.39 
0002021040720700000000030,104516,1099,20210407,13,000000002005663013,2070,1001,1.000 ,31.99 ,39.99 ,5.11 
0002021040720910000000157,155159,1099,20210407,13,000000002062822006,2091,1001,1.000 ,49.99 ,59.99 ,7.98 
0002021040720910000000221,182532,1099,20210407,13,000000002062951010,2091,1001,1.000-,31.99-,39.99-,5.11-
0002021040720910000000244,190210,1099,20210407,13,000000002062443004,2091,1005,1.000 ,19.09 ,23.99 ,0.00 
0002021040720970000000010,105917,1099,20210407,13,000000002041653009,2097,1005,1.000 ,44.99 ,59.99 ,0.00 
0002021040721190000000112,152049,1099,20210407,13,000000002062744009,2119,1001,1.000 ,31.99 ,39.99 ,5.11 
0002021040721660000000059,183525,2010,20210407,13,000000000000050080,2166,1001,1.000 ,0.15 ,0.15 ,0.03 
0002021040721740000000056,155125,2010,20210407,13,000000002100555013,2174,1001,1.000 ,47.99 ,59.99 ,8.00 
0002021040721750000000002,094419,2010,20210407,13,000000002065346003,2175,1001,1.000 ,79.99 ,99.99 ,13.33 
0002021040721790000000028,152913,2010,20210407,13,000000002103414004,2179,1001,1.000 ,14.39 ,17.99 ,2.40 
0002021040722000000000031,115609,2010,20210407,13,000000002058829024,2200,1001,1.000 ,44.99 ,59.99 ,7.50 
0002021040722000000000085,153523,2010,20210407,13,000000000000050080,2200,1001,1.000 ,0.15 ,0.15 ,0.03 
0002021040741280000000060,142548,1099,20210407,13,000000002037568006,4128,1001,1.000 ,9.99 ,9.99 ,1.60 
0002021040741580000000017,150958,2010,20210407,13,000000002060912011,4158,1001,1.000 ,37.49 ,49.99 ,6.25 
0002021040760480000000002,091618,1099,20210407,13,000000000000050080,6048,1001,1.000 ,0.15 ,0.15 ,0.02 
0002021040760970000000091,173732,1099,20210407,13,000000001185968023,6097,1001,1.000 ,27.99 ,27.99 ,4.47 
0002021040761260000000057,180015,2010,20210407,13,000000002059734001,6126,1001,1.000 ,32.00 ,39.99 ,5.33 
0002021040773570000000004,093752,2010,20210407,13,000000002059114034,7357,1001,1.000 ,31.99 ,39.99 ,5.33 
0002021040778000000000049,143506,1120,20210407,13,000000002060851001,7800,1001,1.000 ,12.99 ,12.99 ,2.07 
0002021040778070000000004,111047,1120,20210407,13,000000002059041038,7807,1001,1.000 ,23.99 ,29.99 ,3.83 
0002021040778170000000056,155635,1120,20210407,13,000000002064947030,7817,1001,1.000 ,23.99 ,29.99 ,3.83 
0002021040778190000000052,172945,1120,20210407,13,000000002065889002,7819,1001,1.000 ,69.99 ,69.99 ,11.17 
0002021040820240000000008,110106,1099,20210408,13,000000002061369041,2024,1001,1.000 ,47.99 ,59.99 ,9.58 
0002021040820310000000007,114315,1099,20210408,13,000000002057624022,2031,1001,1.000 ,11.39 ,19.99 ,1.82 
0002021040820330000000074,140209,1099,20210408,13,000000002040829015,2033,1005,1.000 ,18.82 ,25.99 ,0.00 
0002021040820400000000027,115914,1099,20210408,13,000000002060471004,2040,1001,1.000 ,29.99 ,39.99 ,4.79 
0002021040820700000000073,140556,1099,20210408,13,000000002064532012,2070,1001,1.000 ,59.99 ,59.99 ,9.58 
0002021040821110000000021,110715,1099,20210408,13,000000002100389009,2111,1001,1.000 ,7.49 ,9.99 ,1.20 
0002021040821490000000016,111725,2010,20210408,13,000000002063290015,2149,1001,1.000 ,24.00 ,29.99 ,4.00 
0002021040821520000000051,175652,2010,20210408,13,000000002100757023,2152,1001,1.000 ,39.99 ,49.99 ,6.66 
0002021040840210000000043,135610,1099,20210408,13,000000002058363003,4021,1001,1.000 ,37.49 ,49.99 ,5.99 
0002021040841570000000012,114157,2010,20210408,13,000000002063018011,4157,1001,1.000 ,14.99 ,19.99 ,2.50 
0002021040844140000000060,155116,1099,20210408,13,000000002100852023,4414,1001,1.000 ,17.09 ,29.99 ,2.73 
0002021040861260000000025,143657,2010,20210408,13,000000002058244024,6126,1001,1.000 ,47.99 ,59.99 ,8.00 
0002021040863390000000051,143816,1099,20210408,13,000000002100886007,6339,1001,1.000 ,71.99 ,89.99 ,14.37 
0002021040620240000000017,113748,1099,20210406,13,000000002059038002,2024,1001,1.000 ,31.99 ,39.99 ,5.11 
0002021040620400000000052,105318,1099,20210406,13,000000002060591001,2040,1005,1.000 ,13.99 ,13.99 ,0.00 
0002021040620480000000107,165819,1099,20210406,13,000000002100949006,2048,1005,1.000 ,28.14 ,39.99 ,0.00 
0002021040620520000000046,130041,1099,20210406,13,000000002040457051,2052,1005,1.000 ,37.49 ,49.99 ,0.00 
0002021040620620000000012,115505,1099,20210406,13,000000002064699016,2062,1005,1.000 ,52.49 ,69.99 ,0.00 
0002021040620700000000126,130119,1099,20210406,13,000000002062071003,2070,1005,1.000 ,20.79 ,25.99 ,0.00 
0002021040620910000000186,143826,1099,20210406,13,000000002058019022,2091,1005,1.000 ,12.04 ,15.99 ,0.00 
0002021040620910000000209,162131,1099,20210406,13,000000002064123001,2091,1001,1.000 ,25.99 ,25.99 ,4.15 
0002021040621110000000114,171816,1099,20210406,13,000000002063779024,2111,1005,1.000 ,49.99 ,49.99 ,0.00 
0002021040621380000000006,103053,1099,20210406,13,000000002057296010,2138,1005,1.000 ,37.31 ,49.99 ,0.00 
0002021040621380000000008,103858,1099,20210406,13,000000002040937032,2138,1005,1.000 ,37.49 ,49.99 ,0.00 
0002021040621750000000017,155759,2010,20210406,13,000000002057061028,2175,1001,1.000 ,47.99 ,59.99 ,8.00 
0002021040621920000000013,105531,1099,20210406,13,000000002061277015,2192,1005,1.000 ,67.23 ,89.99 ,0.00 
0002021040622280000000010,124132,1099,20210406,13,000000002058298020,2228,1005,1.000 ,34.49 ,45.99 ,0.00 
0002021040622310000000005,092944,2010,20210406,13,000000001277426004,2231,1001,1.000 ,48.00 ,59.99 ,8.00 
0002021040641280000000016,113743,1099,20210406,13,000000002061615001,4128,1005,1.000 ,15.09 ,22.99 ,0.00 
0002021040643770000000005,103822,1099,20210406,13,000000000000050080,4377,1001,1.000 ,0.15 ,0.15 ,0.02 
0002021040660470000000014,114013,1099,20210406,13,000000001248358003,6047,1005,1.000 ,22.49 ,29.99 ,0.00 
0002021040660930000000016,130420,2010,20210406,13,000000002056199001,6093,1001,1.000 ,211.65 ,249.00 ,35.28 
0002021040661250000000018,105710,2010,20210406,13,000000002057732008,6125,1001,1.000 ,39.99 ,39.99 ,6.67 
0002021040663520000000008,135231,1099,20210406,13,000000002060694017,6352,1005,1.000 ,20.84 ,29.99 ,0.00 
0002021040673370000000019,093249,1099,20210406,13,000000002061186023,7337,1005,1.000 ,67.49 ,89.99 ,0.00 
0002021040673570000000009,100410,2010,20210406,13,000000000000050080,7357,1001,1.000 ,0.15 ,0.15 ,0.03 
0002021040673570000000055,153052,2010,20210406,13,000000002064333012,7357,1001,1.000 ,26.99 ,35.99 ,4.50 
0002021040678000000000040,132755,1120,20210406,13,000000002060933011,7800,1001,1.000 ,39.99 ,39.99 ,6.38 
0002021040678180000000034,173653,1120,20210406,13,000000002064168022,7818,1001,1.000 ,28.79 ,35.99 ,4.60 
0002021040720330000000005,085041,1099,20210407,13,000000002058013008,2033,1005,1.000 ,12.79 ,15.99 ,0.00 
0002021040720350000000009,122004,1099,20210407,13,000000002063778024,2035,1005,1.000 ,21.49 ,29.99 ,0.00 
0002021040720390000000123,143006,1099,20210407,13,000000002058758004,2039,1001,1.000 ,55.99 ,69.99 ,11.17 
0002021040720390000000154,153644,1099,20210407,13,000000002058196003,2039,1001,1.000 ,32.00 ,39.99 ,6.38 
0002021040720390000000163,160503,1099,20210407,13,000000002061254044,2039,1001,1.000 ,12.99 ,12.99 ,2.07 
0002021040720400000000119,175037,1099,20210407,13,000000002063996024,2040,1001,1.000 ,17.09 ,29.99 ,2.73 
0002021040720440000000004,121104,1099,20210407,13,000000002064365004,2044,1005,1.000 ,37.49 ,49.99 ,0.00 
0002021040720700000000010,085826,1099,20210407,13,000000002061332021,2070,1005,1.000 ,39.99 ,49.99 ,0.00 
0002021040720700000000116,150737,1099,20210407,13,000000002061034001,2070,1001,1.000 ,22.49 ,29.99 ,3.59 
0002021040720710000000072,133644,1099,20210407,13,000000002060852002,2071,1001,1.000 ,15.99 ,15.99 ,2.55 
0002021040720910000000070,123101,1099,20210407,13,000000002063642008,2091,1001,1.000 ,55.99 ,69.99 ,8.94 
0002021040720910000000126,141820,1099,20210407,13,000000002064616005,2091,1001,1.000 ,59.99 ,79.99 ,10.22 
0002021040720910000000166,161302,1099,20210407,13,000000002062857014,2091,1001,1.000 ,55.99 ,69.99 ,8.94 
0002021040721110000000009,101858,1099,20210407,13,000000002062991010,2111,1005,1.000 ,19.99 ,19.99 ,0.00 
0002021040722000000000041,130803,2010,20210407,13,000000002065848007,2200,1001,1.000 ,59.99 ,59.99 ,10.00 
0002021040740210000000013,105251,1099,20210407,13,000000002061118021,4021,1001,1.000 ,31.99 ,39.99 ,5.11 
0002021040740210000000027,131109,1099,20210407,13,000000002065012003,4021,1001,1.000 ,31.99 ,39.99 ,5.11 
0002021040743970000000043,102015,1099,20210407,13,000000001277428039,4397,1005,1.000 ,44.99 ,59.99 ,0.00 
0002021040760970000000014,093111,1099,20210407,13,000000002056501005,6097,1005,1.000 ,30.39 ,37.99 ,0.00 
0002021040760970000000018,093132,1099,20210407,13,000000001256723007,6097,1005,1.000 ,14.99 ,19.99 ,0.00 
0002021040760970000000050,133906,1099,20210407,13,000000002101743021,6097,1001,1.000 ,11.99 ,14.99 ,1.91 
0002021040766510000000033,162013,2010,20210407,13,000000002057080030,6651,1001,1.000 ,40.00 ,49.99 ,6.67 
0002021040773370000000007,083028,1099,20210407,13,000000002057432008,7337,1005,1.000 ,9.74 ,12.99 ,0.00 
0002021040776850000000093,184028,2010,20210407,13,000000002100391020,7685,1001,1.000 ,39.99 ,49.99 ,6.67 
0002021040777860000000009,102342,1120,20210407,13,000000002064819043,7786,1001,1.000 ,23.99 ,29.99 ,3.83 
0002021040778130000000020,133912,1120,20210407,13,000000002063945008,7813,1001,1.000 ,56.99 ,99.99 ,9.10 
0002021040820240000000022,115111,1099,20210408,13,000000002060693033,2024,1001,1.000 ,25.99 ,25.99 ,4.15 
0002021040820240000000053,133751,1099,20210408,13,000000002060293002,2024,1001,1.000 ,11.39 ,19.99 ,1.82 
0002021040820350000000004,095130,1099,20210408,13,000000002058013008,2035,1005,1.000 ,12.79 ,15.99 ,0.00 
0002021040820390000000059,132954,1099,20210408,13,000000002065012012,2039,1001,1.000 ,39.99 ,39.99 ,6.38 
0002021040820480000000002,085028,1099,20210408,13,000000001271151035,2048,1005,1.000 ,14.99 ,19.99 ,0.00 
0002021040820480000000028,152545,1099,20210408,13,000000002057227053,2048,1001,1.000 ,55.99 ,69.99 ,8.94 
0002021040821110000000012,095207,1099,20210408,13,000000002100391002,2111,1005,1.000 ,37.49 ,49.99 ,0.00 
0002021040821190000000098,141358,1099,20210408,13,000000000000050080,2119,1001,1.000 ,0.15 ,0.15 ,0.02 
0002021040821400000000032,130042,1099,20210408,13,000000002060755014,2140,1001,1.000 ,39.99 ,49.99 ,6.39 
0002021040840210000000055,155550,1099,20210408,13,000000000000050080,4021,1001,1.000 ,0.15 ,0.15 ,0.02 
0002021040841570000000033,155446,2010,20210408,13,000000002059143006,4157,1001,1.000 ,51.49 ,89.99 ,8.58 
0002021040841570000000050,164953,2010,20210408,13,000000002058646001,4157,1001,1.000 ,11.11 ,19.99 ,1.85 
0002021040841580000000036,153547,2010,20210408,13,000000002061277003,4158,1001,1.000 ,71.99 ,89.99 ,12.00 
0002021040844050000000091,152736,2010,20210408,13,000000002064699013,4405,1001,1.000 ,55.99 ,69.99 ,9.33 
0002021040844140000000034,131603,1099,20210408,13,000000002064584029,4414,1001,1.000 ,22.50 ,29.99 ,3.59 
0002021040861250000000022,113451,2010,20210408,13,000000002060637010,6125,1001,1.000 ,52.49 ,69.99 ,8.75 
0002021040877890000000003,105126,1120,20210408,13,000000002057432018,7789,1001,1.000 ,12.99 ,12.99 ,2.07 
0002021040877990000000003,105430,1120,20210408,13,000000002057547011,7799,1001,1.000 ,23.70 ,29.99 ,3.78 
0002021040620240000000017,113748,1099,20210406,13,000000002005645021,2024,1001,1.000 ,47.99 ,59.99 ,7.66 
0002021040620240000000144,172146,1099,20210406,13,000000002061055018,2024,1001,1.000 ,44.99 ,59.99 ,7.18 
0002021040620480000000062,122116,1099,20210406,13,000000002060672002,2048,1005,1.000 ,10.49 ,13.99 ,0.00 
0002021040620480000000080,133910,1099,20210406,13,000000002064185032,2048,1005,1.000 ,22.49 ,29.99 ,0.00 
0002021040620480000000100,151159,1099,20210406,13,000000002062042012,2048,1005,1.000 ,11.19 ,13.99 ,0.00 
0002021040620490000000066,112231,1099,20210406,13,000000002058751010,2049,1005,1.000 ,22.99 ,22.99 ,0.00 
0002021040620550000000037,122003,1099,20210406,13,000000002060837001,2055,1005,1.000 ,11.99 ,15.99 ,0.00 
0002021040620620000000041,134814,1099,20210406,13,000000002063778004,2062,1001,1.000 ,22.50 ,29.99 ,3.59 
0002021040620700000000036,093219,1099,20210406,13,000000002102780014,2070,1005,1.000 ,39.99 ,49.99 ,0.00 
0002021040620700000000156,141111,1099,20210406,13,000000002061332022,2070,1005,1.000 ,37.49 ,49.99 ,0.00 
0002021040620700000000191,162211,1099,20210406,13,000000002063675003,2070,1005,1.000 ,19.49 ,25.99 ,0.00 
0002021040620700000000217,182644,1099,20210406,13,000000002057472054,2070,1001,1.000 ,69.99 ,69.99 ,11.17 
0002021040620910000000082,121603,1099,20210406,13,000000002060478001,2091,1001,1.000-,29.99-,29.99-,4.79-
0002021040621110000000078,141520,1099,20210406,13,000000002060852003,2111,1001,1.000 ,12.79 ,15.99 ,2.04 
0002021040621110000000098,152021,1099,20210406,13,000000002057484022,2111,1001,1.000 ,39.99 ,49.99 ,6.39 
0002021040621110000000109,162913,1099,20210406,13,000000002061136008,2111,1001,1.000 ,129.99 ,129.99 ,20.75 
0002021040621140000000009,120657,1099,20210406,13,000000002064067007,2114,1005,1.000 ,67.49 ,89.99 ,0.00 
0002021040621380000000003,103035,1099,20210406,13,000000002061204003,2138,1005,1.000 ,55.99 ,69.99 ,0.00 
0002021040621400000000134,165030,1099,20210406,13,000000002063182027,2140,1005,1.000 ,22.49 ,29.99 ,0.00 
0002021040621530000000010,105257,2010,20210406,13,000000002064105003,2153,1001,1.000 ,25.99 ,25.99 ,4.33 
0002021040622000000000023,102905,2010,20210406,13,000000002061562005,2200,1001,1.000 ,47.99 ,59.99 ,8.00 
0002021040622310000000019,112740,2010,20210406,13,000000000000050080,2231,1001,1.000 ,0.15 ,0.15 ,0.03 
0002021040622310000000074,163002,2010,20210406,13,000000002100090007,2231,1001,1.000 ,22.79 ,39.99 ,3.80 
0002021040640200000000018,091809,1099,20210406,13,000000002060493022,4020,1005,1.000 ,26.99 ,35.99 ,0.00 
0002021040643770000000011,101229,1099,20210406,13,000000002063182014,4377,1005,1.000 ,23.96 ,29.99 ,0.00 
0002021040660970000000034,102218,1099,20210406,13,000000002059439002,6097,1005,1.000 ,35.99 ,35.99 ,0.00 
0002021040661270000000021,165401,2010,20210406,13,000000002056204003,6127,1001,1.000 ,76.41 ,89.90 ,12.74 
0002021040672730000000022,110137,1099,20210406,13,000000002102234013,7273,1005,1.000 ,47.39 ,49.99 ,0.00 
0002021040678260000000007,115711,1120,20210406,13,000000002058867002,7826,1001,1.000 ,20.79 ,25.99 ,3.32 
